"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","1980-09",6.14244,
"AUS","HUR","TOT","PC_LF","M","1980-10",6.055891,
"AUS","HUR","TOT","PC_LF","M","1980-11",5.851389,
"AUS","HUR","TOT","PC_LF","M","1980-12",6.052071,
"AUS","HUR","TOT","PC_LF","M","1981-01",5.917194,
"AUS","HUR","TOT","PC_LF","M","1981-02",5.617081,
"AUS","HUR","TOT","PC_LF","M","1981-03",5.746552,
"AUS","HUR","TOT","PC_LF","M","1981-04",5.555507,
"AUS","HUR","TOT","PC_LF","M","1981-05",5.589421,
"AUS","HUR","TOT","PC_LF","M","1981-06",5.374532,
"AUS","HUR","TOT","PC_LF","M","1981-07",5.827982,
"AUS","HUR","TOT","PC_LF","M","1981-08",5.846675,
"AUS","HUR","TOT","PC_LF","M","1981-09",5.813301,
"AUS","HUR","TOT","PC_LF","M","1981-10",5.873051,
"AUS","HUR","TOT","PC_LF","M","1981-11",5.996211,
"AUS","HUR","TOT","PC_LF","M","1981-12",6.028036,
"AUS","HUR","TOT","PC_LF","M","1982-01",5.983312,
"AUS","HUR","TOT","PC_LF","M","1982-02",6.308949,
"AUS","HUR","TOT","PC_LF","M","1982-03",6.3235,
"AUS","HUR","TOT","PC_LF","M","1982-04",6.334316,
"AUS","HUR","TOT","PC_LF","M","1982-05",6.593385,
"AUS","HUR","TOT","PC_LF","M","1982-06",6.767517,
"AUS","HUR","TOT","PC_LF","M","1982-07",6.884125,
"AUS","HUR","TOT","PC_LF","M","1982-08",7.012236,
"AUS","HUR","TOT","PC_LF","M","1982-09",7.430622,
"AUS","HUR","TOT","PC_LF","M","1982-10",8.295691,
"AUS","HUR","TOT","PC_LF","M","1982-11",8.680236,
"AUS","HUR","TOT","PC_LF","M","1982-12",9.403028,
"AUS","HUR","TOT","PC_LF","M","1983-01",9.300896,
"AUS","HUR","TOT","PC_LF","M","1983-02",9.659368,
"AUS","HUR","TOT","PC_LF","M","1983-03",9.951749,
"AUS","HUR","TOT","PC_LF","M","1983-04",10.15295,
"AUS","HUR","TOT","PC_LF","M","1983-05",10.32364,
"AUS","HUR","TOT","PC_LF","M","1983-06",10.20365,
"AUS","HUR","TOT","PC_LF","M","1983-07",10.50799,
"AUS","HUR","TOT","PC_LF","M","1983-08",10.21984,
"AUS","HUR","TOT","PC_LF","M","1983-09",10.33887,
"AUS","HUR","TOT","PC_LF","M","1983-10",10.00844,
"AUS","HUR","TOT","PC_LF","M","1983-11",9.654973,
"AUS","HUR","TOT","PC_LF","M","1983-12",9.458279,
"AUS","HUR","TOT","PC_LF","M","1984-01",9.499063,
"AUS","HUR","TOT","PC_LF","M","1984-02",9.38625,
"AUS","HUR","TOT","PC_LF","M","1984-03",9.208769,
"AUS","HUR","TOT","PC_LF","M","1984-04",9.371177,
"AUS","HUR","TOT","PC_LF","M","1984-05",8.937243,
"AUS","HUR","TOT","PC_LF","M","1984-06",9.096159,
"AUS","HUR","TOT","PC_LF","M","1984-07",8.908178,
"AUS","HUR","TOT","PC_LF","M","1984-08",8.829405,
"AUS","HUR","TOT","PC_LF","M","1984-09",8.735696,
"AUS","HUR","TOT","PC_LF","M","1984-10",8.695907,
"AUS","HUR","TOT","PC_LF","M","1984-11",8.679571,
"AUS","HUR","TOT","PC_LF","M","1984-12",8.520354,
"AUS","HUR","TOT","PC_LF","M","1985-01",8.551031,
"AUS","HUR","TOT","PC_LF","M","1985-02",8.389959,
"AUS","HUR","TOT","PC_LF","M","1985-03",8.666228,
"AUS","HUR","TOT","PC_LF","M","1985-04",8.403225,
"AUS","HUR","TOT","PC_LF","M","1985-05",8.376612,
"AUS","HUR","TOT","PC_LF","M","1985-06",8.571282,
"AUS","HUR","TOT","PC_LF","M","1985-07",8.298573,
"AUS","HUR","TOT","PC_LF","M","1985-08",8.15633,
"AUS","HUR","TOT","PC_LF","M","1985-09",8.058138,
"AUS","HUR","TOT","PC_LF","M","1985-10",7.848876,
"AUS","HUR","TOT","PC_LF","M","1985-11",7.950746,
"AUS","HUR","TOT","PC_LF","M","1985-12",7.785224,
"AUS","HUR","TOT","PC_LF","M","1986-01",7.805823,
"AUS","HUR","TOT","PC_LF","M","1986-02",8.003451,
"AUS","HUR","TOT","PC_LF","M","1986-03",7.928587,
"AUS","HUR","TOT","PC_LF","M","1986-04",7.901625,
"AUS","HUR","TOT","PC_LF","M","1986-05",7.847057,
